BFS_NR,Gemeindename,Jahr,Einwohner_pro_Quadratkilometer,Einwohner 0-14 Jahre alt,Einwohner 15-29 Jahre alt,Einwohner 30-44 Jahre alt,Einwohner 45-59 Jahre alt,Einwohner 60-74 Jahre alt,Einwohner 75-89 Jahre alt,Einwohner 90-104 Jahre alt,durchschnittliches_steuerbares_Einkommen_pro_Einwohner,Finanzvermoegen_pro_Einwohner,Einwohner,Einbruchdiebstahl_Total,Einschleichdiebstahl_Total,Einbruchdiebstahl_Versucht,Einschleichdiebstahl_Versucht,Einbruchdiebstahl_Vollendet,Einschleichdiebstahl_Vollendet
5,Hedingen,2014,558.2,606,656,687,954,559,171,12,69842.0,4559.0,3595.0,7.0,3.0,2.0,0.0,5.0,3.0
6,Kappel,2014,129.5,189,145,230,256,142,48,4,70685.0,10199.0,956.0,6.0,0.0,2.0,0.0,4.0,0.0
7,Knonau,2014,312.3,355,326,407,531,295,111,8,58848.0,5570.0,2007.0,8.0,6.0,3.0,1.0,5.0,5.0
8,Maschwanden,2014,141.9,113,118,143,148,99,40,3,53697.0,3816.0,664.0,0.0,1.0,0.0,0.0,0.0,1.0
9,Mettmenstetten,2014,342.0,720,763,879,1108,748,228,17,68008.0,7927.0,4423.0,23.0,1.0,8.0,0.0,15.0,1.0
10,Obfelden,2014,652.3,865,832,997,1145,817,253,16,63453.0,5939.0,4867.0,9.0,2.0,6.0,0.0,3.0,2.0
11,Ottenbach,2014,510.4,383,399,470,649,500,130,11,71186.0,5856.0,2483.0,9.0,3.0,4.0,0.0,5.0,3.0
12,Rifferswil,2014,152.1,213,130,209,237,154,50,6,61275.0,6437.0,959.0,4.0,0.0,2.0,0.0,2.0,0.0
13,Stallikon,2014,273.9,511,443,746,844,542,194,10,84440.0,4083.0,3339.0,10.0,5.0,2.0,0.0,8.0,5.0
22,Benken,2014,145.3,123,128,158,246,123,44,1,58681.0,10625.0,828.0,3.0,0.0,0.0,0.0,3.0,0.0
23,Berg,2014,82.0,60,99,100,154,125,38,3,61932.0,9939.0,578.0,2.0,0.0,0.0,0.0,2.0,0.0
24,Buch,2014,90.7,184,131,214,225,134,34,1,63985.0,12254.0,921.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Dachsen,2014,743.9,341,328,358,510,318,139,7,62774.0,5855.0,1984.0,12.0,3.0,4.0,0.0,8.0,3.0
26,Dorf,2014,116.1,99,122,107,183,101,29,2,61559.0,5775.0,621.0,1.0,3.0,0.0,1.0,1.0,2.0
27,Feuerthalen,2014,1398.8,531,543,830,823,471,266,33,53953.0,6845.0,3490.0,8.0,2.0,3.0,0.0,5.0,2.0
28,Flaach,2014,133.4,209,250,236,375,178,101,12,61974.0,7601.0,1351.0,5.0,1.0,2.0,0.0,3.0,1.0
29,Flurlingen,2014,591.7,207,236,266,384,222,95,10,70060.0,4170.0,1404.0,3.0,0.0,1.0,0.0,2.0,0.0
31,Henggart,2014,743.1,410,386,429,546,338,154,11,66441.0,6148.0,2275.0,9.0,0.0,4.0,0.0,5.0,0.0
33,Kleinandelfingen,2014,200.5,344,321,416,531,315,127,9,58555.0,6371.0,2046.0,12.0,3.0,7.0,0.0,5.0,3.0
34,Laufen-Uhwiesen,2014,261.6,257,216,298,430,286,134,14,76910.0,6469.0,1622.0,9.0,1.0,3.0,0.0,6.0,1.0
35,Marthalen,2014,140.4,304,381,378,482,315,114,12,59931.0,5929.0,1987.0,8.0,3.0,2.0,0.0,6.0,3.0
37,Ossingen,2014,105.9,231,237,265,337,222,91,6,52162.0,4733.0,1357.0,3.0,1.0,2.0,1.0,1.0,0.0
38,Rheinau,2014,146.9,172,204,222,389,218,93,14,57048.0,7165.0,1326.0,1.0,2.0,0.0,0.0,1.0,2.0
39,Thalheim,2014,142.2,158,133,190,252,133,47,3,58869.0,9111.0,916.0,1.0,0.0,0.0,0.0,1.0,0.0
40,Trüllikon,2014,106.0,148,134,204,237,216,66,8,61189.0,7831.0,996.0,2.0,1.0,2.0,0.0,0.0,1.0
41,Truttikon,2014,104.5,79,77,76,128,71,29,3,52624.0,8413.0,450.0,1.0,0.0,0.0,0.0,1.0,0.0
43,Volken,2014,103.7,68,57,66,97,30,20,1,62909.0,11628.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Bachenbülach,2014,947.3,657,619,916,875,718,264,15,61104.0,8378.0,4047.0,19.0,4.0,5.0,0.0,14.0,4.0
52,Bassersdorf,2014,1264.8,1831,1926,2808,2553,1616,588,49,65400.0,4893.0,11350.0,48.0,8.0,17.0,2.0,31.0,6.0
53,Bülach,2014,1170.7,2805,3767,4381,3852,2705,1242,96,57282.0,4524.0,18408.0,111.0,37.0,31.0,2.0,80.0,35.0
54,Dietlikon,2014,1792.4,1142,1254,1686,1594,1233,610,44,68397.0,6309.0,7238.0,33.0,8.0,15.0,1.0,18.0,7.0
55,Eglisau,2014,546.4,887,765,1161,1114,743,265,26,67189.0,4517.0,4942.0,13.0,3.0,3.0,0.0,10.0,3.0
56,Embrach,2014,713.0,1499,1638,2042,2061,1325,478,41,58798.0,4694.0,8940.0,32.0,23.0,19.0,1.0,13.0,22.0
57,Freienstein-Teufen,2014,276.7,341,373,421,640,381,141,8,64374.0,4297.0,2288.0,6.0,1.0,4.0,0.0,2.0,1.0
58,Glattfelden,2014,391.9,778,837,1137,1180,647,225,20,57046.0,5386.0,4647.0,20.0,4.0,10.0,0.0,10.0,4.0
59,Hochfelden,2014,328.1,373,318,419,493,325,80,10,66731.0,6682.0,2009.0,6.0,2.0,3.0,0.0,3.0,2.0
60,Höri,2014,558.1,399,535,550,642,370,157,9,52811.0,6124.0,2636.0,13.0,2.0,6.0,0.0,7.0,2.0
61,Hüntwangen,2014,205.7,173,146,207,254,173,58,3,70577.0,14290.0,1005.0,3.0,0.0,1.0,0.0,2.0,0.0
62,Kloten,2014,949.7,2568,3335,4432,4003,2525,1351,115,57630.0,7341.0,18400.0,97.0,25.0,26.0,0.0,71.0,25.0
63,Lufingen,2014,368.8,355,269,431,544,250,62,3,74815.0,7011.0,1873.0,1.0,1.0,0.0,1.0,1.0,0.0
64,Nürensdorf,2014,533.5,767,789,1112,1303,984,402,26,83926.0,4973.0,5328.0,17.0,2.0,9.0,0.0,8.0,2.0
65,Oberembrach,2014,107.2,155,175,245,273,170,66,7,65412.0,6117.0,1094.0,0.0,1.0,0.0,0.0,0.0,1.0
66,Opfikon,2014,3045.5,2675,3397,4830,3237,1898,947,101,53040.0,6522.0,16403.0,198.0,49.0,83.0,1.0,115.0,48.0
67,Rafz,2014,395.1,679,760,823,1067,632,247,27,63285.0,4810.0,4175.0,31.0,14.0,16.0,1.0,15.0,13.0
68,Rorbas,2014,605.6,480,523,637,617,347,85,12,57052.0,8808.0,2586.0,12.0,4.0,4.0,1.0,8.0,3.0
69,Wallisellen,2014,2370.7,2277,2676,4021,3128,2034,1065,113,68318.0,9134.0,14858.0,107.0,18.0,49.0,1.0,58.0,17.0
70,Wasterkingen,2014,144.2,92,69,99,173,104,29,2,59309.0,8097.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Wil,2014,150.6,205,207,258,335,240,99,7,63260.0,8718.0,1318.0,1.0,0.0,1.0,0.0,0.0,0.0
72,Winkel,2014,514.0,558,600,897,1109,737,245,17,91290.0,14291.0,4196.0,18.0,5.0,9.0,0.0,9.0,5.0
81,Bachs,2014,65.4,85,81,125,160,101,46,0,59046.0,7346.0,610.0,5.0,2.0,3.0,0.0,2.0,2.0
82,Boppelsen,2014,326.5,236,161,250,329,240,60,4,92707.0,12726.0,1311.0,5.0,0.0,0.0,0.0,5.0,0.0
83,Buchs,2014,1046.3,997,1199,1466,1480,764,224,22,62418.0,7246.0,6201.0,53.0,15.0,13.0,1.0,40.0,14.0
84,Dällikon,2014,870.3,620,715,847,906,591,213,7,59478.0,11567.0,3768.0,43.0,7.0,11.0,0.0,32.0,7.0
85,Dänikon,2014,694.3,339,348,452,467,266,66,6,68056.0,9119.0,1955.0,12.0,4.0,2.0,0.0,10.0,4.0
86,Dielsdorf,2014,1006.6,870,1106,1401,1264,931,308,29,63172.0,6642.0,5888.0,54.0,9.0,20.0,0.0,34.0,9.0
87,Hüttikon,2014,439.4,105,92,161,185,116,42,2,78130.0,5331.0,681.0,6.0,0.0,2.0,0.0,4.0,0.0
88,Neerach,2014,500.8,347,369,633,887,590,170,9,90859.0,12711.0,3032.0,16.0,5.0,6.0,0.0,10.0,5.0
89,Niederglatt,2014,1309.2,722,847,1083,1129,649,252,31,56189.0,3790.0,4657.0,27.0,0.0,11.0,0.0,16.0,0.0
90,Niederhasli,2014,798.2,1471,1736,2000,2108,1232,460,21,60690.0,3875.0,8871.0,43.0,7.0,16.0,0.0,27.0,7.0
91,Niederweningen,2014,417.3,502,514,572,771,396,102,14,66447.0,8734.0,2787.0,25.0,0.0,11.0,0.0,14.0,0.0
92,Oberglatt,2014,805.8,1155,1428,1714,1360,745,217,13,49222.0,3918.0,6474.0,41.0,11.0,11.0,1.0,30.0,10.0
93,Oberweningen,2014,373.6,289,313,385,469,281,78,8,72079.0,5793.0,1756.0,8.0,1.0,5.0,0.0,3.0,1.0
94,Otelfingen,2014,386.4,511,403,665,644,398,155,10,69460.0,11842.0,2749.0,38.0,9.0,10.0,1.0,28.0,8.0
95,Regensberg,2014,205.5,81,51,127,123,70,36,1,71663.0,19746.0,485.0,0.0,1.0,0.0,0.0,0.0,1.0
96,Regensdorf,2014,1192.3,2766,3230,4014,3718,2490,1154,71,57021.0,5564.0,17179.0,136.0,35.0,43.0,0.0,93.0,35.0
97,Rümlang,2014,605.2,1131,1484,1786,1617,965,510,48,54905.0,9351.0,7231.0,66.0,12.0,27.0,0.0,39.0,12.0
98,Schleinikon,2014,129.2,102,147,153,188,102,37,1,59570.0,10477.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Schöfflisdorf,2014,346.9,202,213,261,358,236,106,8,67510.0,7561.0,1362.0,8.0,0.0,2.0,0.0,6.0,0.0
100,Stadel,2014,167.5,332,367,425,575,314,129,17,61854.0,6090.0,2029.0,5.0,1.0,1.0,0.0,4.0,1.0
101,Steinmaur,2014,356.5,468,625,750,773,523,222,15,65051.0,6744.0,3354.0,9.0,0.0,3.0,0.0,6.0,0.0
102,Weiach,2014,120.4,163,181,242,320,173,66,8,56733.0,11437.0,1077.0,9.0,2.0,4.0,0.0,5.0,2.0
111,Bäretswil,2014,225.0,795,834,947,1218,853,321,25,58094.0,4627.0,4914.0,5.0,2.0,2.0,1.0,3.0,1.0
112,Bubikon,2014,599.6,1211,1067,1452,1601,1180,437,31,63666.0,3217.0,6933.0,29.0,3.0,10.0,0.0,19.0,3.0
113,Dürnten,2014,722.2,1245,1304,1473,1797,1077,440,38,56652.0,4655.0,7181.0,23.0,7.0,12.0,3.0,11.0,4.0
114,Fischenthal,2014,77.1,423,413,454,575,329,111,20,49787.0,6706.0,2326.0,4.0,2.0,2.0,0.0,2.0,2.0
115,Gossau,2014,533.7,1549,1648,1874,2398,1591,652,44,65178.0,3179.0,9714.0,21.0,3.0,10.0,0.0,11.0,3.0
116,Grüningen,2014,382.4,528,579,652,844,532,204,26,63836.0,4996.0,3283.0,9.0,3.0,6.0,1.0,3.0,2.0
117,Hinwil,2014,483.1,1575,1916,2178,2481,1797,753,79,58005.0,3690.0,10751.0,29.0,12.0,10.0,1.0,19.0,11.0
118,Rüti,2014,1188.4,1765,2324,2349,2679,1882,887,93,52975.0,4330.0,11993.0,25.0,8.0,8.0,0.0,17.0,8.0
119,Seegräben,2014,371.1,238,205,345,339,202,66,4,66011.0,3377.0,1333.0,5.0,2.0,2.0,0.0,3.0,2.0
120,Wald,2014,374.2,1412,1652,1912,2303,1384,703,80,50842.0,2132.0,9346.0,12.0,2.0,3.0,0.0,9.0,2.0
121,Wetzikon,2014,1429.5,3501,4866,5216,5122,3364,1644,174,53345.0,4766.0,23726.0,94.0,17.0,54.0,3.0,40.0,14.0
131,Adliswil,2014,2356.5,2786,2993,4503,3721,2777,1465,136,62717.0,3717.0,18262.0,83.0,21.0,27.0,1.0,56.0,20.0
135,Kilchberg,2014,3020.4,1206,983,1919,1792,1143,710,100,119591.0,16204.0,7809.0,72.0,8.0,27.0,0.0,45.0,8.0
136,Langnau,2014,857.0,1149,1176,1463,1653,1293,623,56,72316.0,4343.0,7330.0,42.0,9.0,20.0,1.0,22.0,8.0
137,Oberrieden,2014,1810.8,715,664,940,1212,932,498,55,101230.0,10518.0,4975.0,23.0,1.0,6.0,0.0,17.0,1.0
138,Richterswil,2014,1722.9,2135,2083,2724,3060,2037,888,81,67871.0,5078.0,13022.0,54.0,8.0,21.0,1.0,33.0,7.0
139,Rüschlikon,2014,1908.6,877,704,1202,1345,858,530,57,117982.0,15500.0,5537.0,44.0,5.0,15.0,0.0,29.0,5.0
141,Thalwil,2014,3196.0,2665,2493,4309,3945,2675,1372,150,83297.0,5106.0,17554.0,75.0,15.0,34.0,0.0,41.0,15.0
151,Erlenbach,2014,1838.9,888,760,1065,1420,833,439,38,149252.0,16767.0,5340.0,41.0,3.0,19.0,0.0,22.0,3.0
152,Herrliberg,2014,696.4,997,882,1099,1616,1080,499,67,137917.0,21124.0,6173.0,24.0,9.0,6.0,4.0,18.0,5.0
153,Hombrechtikon,2014,692.4,1338,1410,1584,2002,1392,622,72,64000.0,3282.0,8200.0,23.0,4.0,14.0,0.0,9.0,4.0
154,Küsnacht,2014,1120.8,2072,1731,2698,3188,2393,1518,220,134738.0,10453.0,13658.0,91.0,11.0,43.0,0.0,48.0,11.0
155,Männedorf,2014,2215.2,1710,1426,2034,2652,1627,977,96,81877.0,4887.0,10492.0,36.0,8.0,15.0,2.0,21.0,6.0
156,Meilen,2014,1109.1,2034,1732,2691,3158,2213,1242,139,106423.0,11987.0,13082.0,75.0,8.0,28.0,0.0,47.0,8.0
157,Oetwil,2014,754.7,721,843,1000,1138,642,222,15,54864.0,4568.0,4590.0,9.0,5.0,6.0,0.0,3.0,5.0
158,Stäfa,2014,1618.0,1965,2019,2525,3473,2588,1264,97,81012.0,8247.0,13931.0,49.0,13.0,14.0,0.0,35.0,13.0
159,Uetikon,2014,1694.6,909,974,1057,1572,939,447,50,95634.0,8302.0,5895.0,13.0,2.0,3.0,0.0,10.0,2.0
160,Zumikon,2014,936.5,815,647,878,1166,977,590,59,151479.0,8620.0,5167.0,24.0,5.0,8.0,0.0,16.0,5.0
161,Zollikon,2014,1592.5,1876,1470,2612,2801,2066,1434,257,135359.0,8766.0,12324.0,76.0,19.0,35.0,2.0,41.0,17.0
172,Fehraltorf,2014,664.1,1054,1056,1459,1457,989,271,23,65080.0,4509.0,6283.0,21.0,7.0,13.0,2.0,8.0,5.0
173,Hittnau,2014,279.8,614,655,702,985,522,148,14,68582.0,6251.0,3562.0,5.0,5.0,4.0,1.0,1.0,4.0
176,Lindau,2014,451.5,890,890,1165,1298,851,267,25,68177.0,3076.0,5308.0,28.0,4.0,15.0,1.0,13.0,3.0
177,Pfäffikon,2014,577.7,1712,1842,2261,2632,1849,883,81,62624.0,4547.0,11105.0,45.0,21.0,16.0,2.0,29.0,19.0
178,Russikon,2014,293.9,689,593,791,1063,742,290,29,71518.0,3133.0,4160.0,15.0,0.0,7.0,0.0,8.0,0.0
180,Weisslingen,2014,253.8,536,504,556,840,572,215,13,70273.0,7028.0,3211.0,5.0,3.0,2.0,0.0,3.0,3.0
1,Aeugst,2015,252.4,310,296,358,573,338,104,7,80713.0,9866.0,1959.0,4.0,1.0,2.0,0.0,2.0,1.0
2,Affoltern,2015,1103.3,1666,2273,2422,2627,1782,855,70,55852.0,4924.0,11552.0,101.0,10.0,34.0,2.0,67.0,8.0
3,Bonstetten,2015,714.4,1012,783,1214,1228,800,268,17,74566.0,3920.0,5287.0,14.0,5.0,6.0,0.0,8.0,5.0
4,Hausen,2015,254.1,563,503,661,938,595,205,11,63317.0,8860.0,3467.0,10.0,2.0,6.0,1.0,4.0,1.0
5,Hedingen,2015,559.7,616,636,688,965,551,185,14,70871.0,5044.0,3651.0,10.0,1.0,2.0,0.0,8.0,1.0
6,Kappel,2015,131.4,201,144,224,254,152,49,5,67858.0,9862.0,1014.0,1.0,1.0,1.0,0.0,0.0,1.0
7,Knonau,2015,321.7,370,341,406,547,305,114,11,58761.0,5707.0,2037.0,4.0,0.0,1.0,0.0,3.0,0.0
8,Maschwanden,2015,136.3,105,107,135,158,94,36,3,57080.0,4363.0,665.0,1.0,0.0,0.0,0.0,1.0,0.0
9,Mettmenstetten,2015,357.0,746,812,916,1115,796,254,20,70416.0,8589.0,4473.0,12.0,3.0,8.0,0.0,4.0,3.0
10,Obfelden,2015,663.2,882,825,989,1185,838,268,20,63366.0,6059.0,4927.0,14.0,2.0,5.0,0.0,9.0,2.0
11,Ottenbach,2015,515.3,380,396,477,647,519,136,11,69160.0,5543.0,2548.0,4.0,2.0,4.0,0.0,0.0,2.0
12,Rifferswil,2015,160.7,240,127,228,247,155,49,10,62527.0,6256.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Stallikon,2015,286.3,541,476,747,883,577,201,13,81667.0,3815.0,3297.0,15.0,2.0,5.0,0.0,10.0,2.0
22,Benken,2015,151.5,128,138,163,257,129,42,2,58263.0,8575.0,833.0,2.0,0.0,1.0,0.0,1.0,0.0
23,Berg,2015,80.3,58,86,96,156,130,39,2,62581.0,9392.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Buch,2015,94.4,190,143,225,231,134,36,2,64776.0,11142.0,927.0,1.0,0.0,0.0,0.0,1.0,0.0
25,Dachsen,2015,738.3,329,324,345,515,317,147,9,63126.0,7310.0,2008.0,10.0,2.0,3.0,0.0,7.0,2.0
26,Dorf,2015,113.2,88,119,100,188,97,34,1,67175.0,5976.0,646.0,2.0,0.0,0.0,0.0,2.0,0.0
27,Feuerthalen,2015,1425.6,550,561,826,845,476,273,33,53791.0,4429.0,3498.0,4.0,0.0,2.0,0.0,2.0,0.0
28,Flaach,2015,133.0,200,247,239,375,186,95,15,62006.0,5696.0,1363.0,3.0,0.0,1.0,0.0,2.0,0.0
29,Flurlingen,2015,598.8,217,238,257,383,232,103,7,72127.0,4769.0,1426.0,16.0,2.0,5.0,0.0,11.0,2.0
31,Henggart,2015,735.3,386,381,415,548,345,166,9,65580.0,5928.0,2275.0,5.0,1.0,1.0,0.0,4.0,1.0
33,Kleinandelfingen,2015,201.0,350,311,416,531,323,129,8,58834.0,6671.0,2062.0,5.0,3.0,5.0,0.0,0.0,3.0
34,Laufen-Uhwiesen,2015,262.2,245,228,285,431,290,146,14,78365.0,7913.0,1632.0,5.0,0.0,2.0,0.0,3.0,0.0
35,Marthalen,2015,137.8,298,358,362,476,331,114,11,59813.0,5389.0,1990.0,8.0,3.0,2.0,0.0,6.0,3.0
37,Ossingen,2015,108.5,229,253,257,353,229,94,7,55446.0,4591.0,1391.0,8.0,6.0,3.0,0.0,5.0,6.0
38,Rheinau,2015,147.4,170,210,203,393,230,97,13,56731.0,7504.0,1315.0,5.0,3.0,2.0,0.0,3.0,3.0
39,Thalheim,2015,140.2,149,141,167,257,139,45,5,58795.0,9030.0,915.0,0.0,1.0,0.0,0.0,0.0,1.0
40,Trüllikon,2015,106.1,146,141,188,237,217,76,9,59197.0,8535.0,1011.0,0.0,2.0,0.0,0.0,0.0,2.0
41,Truttikon,2015,106.8,84,82,71,133,70,30,3,50212.0,7936.0,463.0,0.0,1.0,0.0,0.0,0.0,1.0
43,Volken,2015,103.7,71,48,62,103,30,24,1,63279.0,13985.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Bachenbülach,2015,938.5,656,605,879,877,712,282,15,63887.0,10221.0,4079.0,20.0,14.0,7.0,0.0,13.0,14.0
52,Bassersdorf,2015,1286.0,1844,1967,2797,2630,1660,616,47,66190.0,3611.0,11404.0,60.0,12.0,28.0,0.0,32.0,12.0
53,Bülach,2015,1201.4,2914,3803,4524,3927,2771,1306,97,58368.0,4722.0,18895.0,112.0,20.0,53.0,1.0,59.0,19.0
54,Dietlikon,2015,1802.1,1148,1266,1697,1589,1227,636,42,66581.0,6327.0,7578.0,44.0,6.0,21.0,0.0,23.0,6.0
55,Eglisau,2015,553.0,884,764,1132,1166,767,280,28,67917.0,4964.0,4966.0,15.0,4.0,4.0,0.0,11.0,4.0
56,Embrach,2015,717.7,1505,1590,2051,2071,1375,507,44,57255.0,5160.0,9114.0,25.0,17.0,14.0,1.0,11.0,16.0
57,Freienstein-Teufen,2015,276.5,324,370,415,657,383,146,8,64901.0,4177.0,2310.0,5.0,1.0,3.0,0.0,2.0,1.0
58,Glattfelden,2015,401.7,805,842,1153,1211,671,234,29,58578.0,3626.0,4838.0,10.0,4.0,5.0,0.0,5.0,4.0
59,Hochfelden,2015,323.4,354,318,393,498,335,82,9,65100.0,8069.0,2024.0,3.0,0.0,0.0,0.0,3.0,0.0
60,Höri,2015,553.2,392,506,538,642,385,165,11,53522.0,4905.0,2663.0,6.0,2.0,4.0,0.0,2.0,2.0
61,Hüntwangen,2015,205.5,172,134,196,267,183,58,3,68160.0,14109.0,1015.0,3.0,0.0,2.0,0.0,1.0,0.0
62,Kloten,2015,954.0,2578,3302,4456,4050,2520,1389,117,57249.0,9507.0,18373.0,132.0,32.0,63.0,3.0,69.0,29.0
63,Lufingen,2015,398.1,380,296,478,575,257,75,5,78603.0,6511.0,1915.0,11.0,4.0,5.0,0.0,6.0,4.0
64,Nürensdorf,2015,541.5,798,789,1110,1314,1007,425,21,84324.0,4493.0,5385.0,17.0,4.0,8.0,0.0,9.0,4.0
65,Oberembrach,2015,104.7,139,167,234,268,180,70,8,67145.0,7658.0,1092.0,2.0,1.0,0.0,0.0,2.0,1.0
66,Opfikon,2015,3294.5,2823,3957,5300,3375,1964,960,103,55415.0,6529.0,17173.0,115.0,28.0,46.0,3.0,69.0,25.0
67,Rafz,2015,404.9,697,780,825,1098,664,243,34,62997.0,4315.0,4243.0,26.0,13.0,14.0,0.0,12.0,13.0
68,Rorbas,2015,614.8,495,521,628,640,358,91,9,53755.0,8858.0,2705.0,9.0,0.0,3.0,0.0,6.0,0.0
69,Wallisellen,2015,2415.3,2382,2699,4119,3145,2074,1068,115,68835.0,10788.0,15373.0,57.0,14.0,23.0,1.0,34.0,13.0
70,Wasterkingen,2015,145.4,89,75,98,164,116,28,3,59620.0,8109.0,568.0,3.0,2.0,2.0,0.0,1.0,2.0
71,Wil,2015,153.3,206,210,253,348,246,102,10,65071.0,7750.0,1357.0,2.0,2.0,1.0,0.0,1.0,2.0
72,Winkel,2015,523.1,563,612,890,1150,737,267,18,91887.0,13711.0,4172.0,11.0,2.0,4.0,0.0,7.0,2.0
81,Bachs,2015,63.9,80,76,117,155,108,48,1,59938.0,7834.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Boppelsen,2015,336.0,234,178,253,346,239,64,3,92742.0,9262.0,1284.0,7.0,2.0,4.0,1.0,3.0,1.0
83,Buchs,2015,1066.2,1015,1202,1468,1495,832,234,23,64848.0,7365.0,6172.0,38.0,7.0,15.0,0.0,23.0,7.0
84,Dällikon,2015,881.7,619,701,858,938,609,215,10,60264.0,11474.0,3904.0,40.0,7.0,13.0,0.0,27.0,7.0
85,Dänikon,2015,674.3,302,341,432,473,265,71,4,65600.0,9671.0,1947.0,14.0,2.0,3.0,0.0,11.0,2.0
86,Dielsdorf,2015,1008.0,881,1058,1397,1276,951,327,27,61787.0,6280.0,5917.0,46.0,12.0,20.0,0.0,26.0,12.0
87,Hüttikon,2015,549.4,179,90,237,210,123,37,3,79535.0,5036.0,703.0,3.0,1.0,1.0,0.0,2.0,1.0
88,Neerach,2015,507.3,338,386,629,893,610,180,8,91461.0,13721.0,3008.0,8.0,4.0,1.0,0.0,7.0,4.0
89,Niederglatt,2015,1319.7,741,839,1096,1125,664,260,26,56105.0,4691.0,4721.0,14.0,2.0,8.0,0.0,6.0,2.0
90,Niederhasli,2015,803.3,1465,1727,1991,2138,1269,465,30,60650.0,3807.0,9044.0,37.0,15.0,19.0,2.0,18.0,13.0
91,Niederweningen,2015,415.1,480,526,538,785,395,123,9,67416.0,7786.0,2877.0,8.0,0.0,6.0,0.0,2.0,0.0
92,Oberglatt,2015,824.9,1185,1478,1726,1399,755,231,15,48687.0,4244.0,6639.0,21.0,7.0,9.0,0.0,12.0,7.0
93,Oberweningen,2015,368.0,279,311,361,473,284,81,7,69973.0,5346.0,1826.0,2.0,0.0,0.0,0.0,2.0,0.0
94,Otelfingen,2015,385.2,523,394,641,647,399,163,10,69733.0,11589.0,2800.0,30.0,4.0,13.0,0.0,17.0,4.0
95,Regensberg,2015,195.4,70,47,112,131,67,37,1,73537.0,20227.0,489.0,2.0,0.0,2.0,0.0,0.0,0.0
96,Regensdorf,2015,1231.0,2800,3413,4181,3793,2544,1205,74,57335.0,5511.0,17478.0,120.0,20.0,44.0,0.0,76.0,20.0
97,Rümlang,2015,622.2,1191,1524,1861,1613,992,529,42,58935.0,9541.0,7553.0,40.0,19.0,13.0,1.0,27.0,18.0
98,Schleinikon,2015,127.4,99,137,136,203,105,39,1,58551.0,9083.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Schöfflisdorf,2015,349.6,207,210,251,369,244,106,8,65917.0,6816.0,1389.0,4.0,0.0,0.0,0.0,4.0,0.0
100,Stadel,2015,171.5,346,359,449,580,323,137,16,62553.0,6224.0,2160.0,2.0,0.0,2.0,0.0,0.0,0.0
101,Steinmaur,2015,357.9,490,586,747,795,522,232,17,65908.0,7373.0,3393.0,21.0,2.0,9.0,0.0,12.0,2.0
102,Weiach,2015,143.7,209,216,305,376,193,70,8,54561.0,10352.0,1158.0,2.0,5.0,0.0,0.0,2.0,5.0
111,Bäretswil,2015,223.4,786,794,945,1207,865,335,26,57412.0,3411.0,4993.0,6.0,0.0,4.0,0.0,2.0,0.0
112,Bubikon,2015,603.7,1212,1072,1417,1616,1223,459,28,64272.0,3276.0,6974.0,9.0,9.0,5.0,0.0,4.0,9.0
113,Dürnten,2015,724.0,1220,1289,1471,1827,1093,452,40,57467.0,4238.0,7403.0,13.0,9.0,3.0,1.0,10.0,8.0
114,Fischenthal,2015,80.4,454,433,465,598,342,113,20,48418.0,6793.0,2323.0,3.0,0.0,2.0,0.0,1.0,0.0
115,Gossau,2015,533.0,1498,1630,1861,2403,1622,677,53,64854.0,3124.0,9773.0,3.0,2.0,1.0,0.0,2.0,2.0
116,Grüningen,2015,381.6,519,552,672,822,550,217,26,65816.0,4327.0,3373.0,3.0,0.0,2.0,0.0,1.0,0.0
117,Hinwil,2015,485.4,1541,1952,2140,2532,1802,773,90,58996.0,4549.0,10799.0,21.0,9.0,5.0,0.0,16.0,9.0
118,Rüti,2015,1191.6,1746,2300,2355,2671,1926,907,106,54050.0,4240.0,12010.0,30.0,8.0,10.0,0.0,20.0,8.0
119,Seegräben,2015,380.6,245,207,345,357,203,72,6,65426.0,3575.0,1398.0,1.0,0.0,0.0,0.0,1.0,0.0
120,Wald,2015,373.3,1409,1636,1855,2293,1455,691,82,51497.0,2357.0,9478.0,12.0,6.0,6.0,0.0,6.0,6.0
121,Wetzikon,2015,1458.6,3575,4992,5351,5186,3388,1700,181,55018.0,4568.0,23938.0,63.0,17.0,27.0,0.0,36.0,17.0
131,Adliswil,2015,2378.3,2879,2910,4585,3767,2770,1507,133,62323.0,4276.0,18448.0,89.0,38.0,40.0,1.0,49.0,37.0
135,Kilchberg,2015,3106.5,1250,1037,1972,1845,1168,711,94,119780.0,14137.0,7873.0,78.0,9.0,36.0,1.0,42.0,8.0
136,Langnau,2015,861.2,1179,1163,1444,1698,1262,655,48,69885.0,3913.0,7426.0,32.0,6.0,15.0,2.0,17.0,4.0
