BFS_NR,Gemeindename,Jahr,Einwohner_pro_Quadratkilometer,Einwohner 0-14 Jahre alt,Einwohner 15-29 Jahre alt,Einwohner 30-44 Jahre alt,Einwohner 45-59 Jahre alt,Einwohner 60-74 Jahre alt,Einwohner 75-89 Jahre alt,Einwohner 90-104 Jahre alt,durchschnittliches_steuerbares_Einkommen_pro_Einwohner,Finanzvermoegen_pro_Einwohner,Einwohner,Einbruchdiebstahl_Total,Einschleichdiebstahl_Total,Einbruchdiebstahl_Versucht,Einschleichdiebstahl_Versucht,Einbruchdiebstahl_Vollendet,Einschleichdiebstahl_Vollendet
61,Hüntwangen,2010,191.9,160,137,207,241,147,50,4,62292.0,18766.0,968.0,3.0,0.0,1.0,0.0,2.0,0.0
62,Kloten,2010,932.4,2545,3358,4501,3706,2549,1248,88,56699.0,8377.0,17924.0,121.0,50.0,45.0,0.0,76.0,50.0
63,Lufingen,2010,338.3,330,240,486,428,208,59,5,76103.0,8523.0,1707.0,9.0,11.0,0.0,0.0,9.0,11.0
64,Nürensdorf,2010,512.4,731,809,1150,1255,900,315,10,79432.0,6591.0,5164.0,20.0,7.0,8.0,0.0,12.0,7.0
65,Oberembrach,2010,94.9,140,151,213,239,154,62,7,64370.0,8243.0,980.0,3.0,0.0,0.0,0.0,3.0,0.0
66,Opfikon,2010,2777.5,2237,3522,4072,2962,1849,864,76,49303.0,7730.0,15256.0,194.0,44.0,71.0,0.0,123.0,44.0
67,Rafz,2010,375.5,693,739,870,928,531,238,26,59485.0,5456.0,3977.0,13.0,3.0,3.0,0.0,10.0,3.0
68,Rorbas,2010,525.3,371,467,561,569,283,87,5,52399.0,10187.0,2255.0,15.0,2.0,4.0,0.0,11.0,2.0
69,Wallisellen,2010,2107.7,1906,2489,3417,2748,1945,996,97,68465.0,6177.0,13283.0,169.0,30.0,68.0,1.0,101.0,29.0
70,Wasterkingen,2010,141.9,85,83,104,179,72,35,1,58280.0,7159.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Wil,2010,142.8,181,231,261,316,201,85,6,59766.0,9499.0,1297.0,0.0,1.0,0.0,0.0,0.0,1.0
72,Winkel,2010,484.8,555,553,958,983,683,187,8,88397.0,13683.0,3891.0,38.0,24.0,13.0,0.0,25.0,24.0
81,Bachs,2010,62.6,78,90,115,162,80,45,3,53704.0,7160.0,574.0,1.0,1.0,0.0,0.0,1.0,1.0
82,Boppelsen,2010,328.1,253,134,332,283,226,53,5,83478.0,11246.0,1297.0,1.0,0.0,1.0,0.0,0.0,0.0
83,Buchs,2010,939.1,913,1185,1335,1282,626,167,14,60118.0,8344.0,5280.0,37.0,8.0,7.0,0.0,30.0,8.0
84,Dällikon,2010,804.7,605,627,870,817,537,143,6,58713.0,12005.0,3577.0,17.0,8.0,7.0,0.0,10.0,8.0
85,Dänikon,2010,679.6,323,403,440,461,209,64,3,64538.0,11062.0,1898.0,6.0,4.0,2.0,0.0,4.0,4.0
86,Dielsdorf,2010,961.8,872,1118,1377,1207,793,255,24,57870.0,6476.0,5519.0,34.0,21.0,5.0,0.0,29.0,21.0
87,Hüttikon,2010,415.6,75,116,150,182,107,29,6,66010.0,4465.0,668.0,1.0,4.0,0.0,0.0,1.0,4.0
88,Neerach,2010,494.8,398,391,761,782,489,144,4,90874.0,10976.0,2947.0,11.0,4.0,4.0,0.0,7.0,4.0
89,Niederglatt,2010,1269.4,742,847,1112,1017,599,227,26,56644.0,4457.0,4544.0,27.0,17.0,11.0,0.0,16.0,17.0
90,Niederhasli,2010,753.8,1449,1673,1974,1906,1143,372,9,58241.0,5003.0,8419.0,37.0,22.0,13.0,0.0,24.0,22.0
91,Niederweningen,2010,396.7,523,444,656,665,332,93,14,65362.0,9020.0,2649.0,8.0,0.0,3.0,0.0,5.0,0.0
92,Oberglatt,2010,712.3,1030,1244,1480,1217,690,186,15,49527.0,6106.0,5621.0,34.0,10.0,10.0,0.0,24.0,10.0
93,Oberweningen,2010,357.6,282,339,400,433,230,54,7,60399.0,3829.0,1672.0,8.0,3.0,2.0,0.0,6.0,3.0
94,Otelfingen,2010,339.7,388,407,573,562,386,123,10,61390.0,13857.0,2335.0,16.0,5.0,2.0,0.0,14.0,5.0
95,Regensberg,2010,205.0,84,66,132,98,83,24,1,71910.0,16885.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Regensdorf,2010,1129.0,2627,3086,3865,3510,2395,979,56,57524.0,8349.0,16384.0,170.0,44.0,73.0,3.0,97.0,41.0
97,Rümlang,2010,537.6,987,1359,1654,1396,841,430,31,56379.0,8509.0,6617.0,87.0,21.0,25.0,0.0,62.0,21.0
98,Schleinikon,2010,126.9,116,127,167,183,90,32,2,57215.0,8415.0,706.0,1.0,0.0,0.0,0.0,1.0,0.0
99,Schöfflisdorf,2010,339.1,189,214,323,315,224,80,8,62779.0,7135.0,1314.0,4.0,4.0,1.0,0.0,3.0,4.0
100,Stadel,2010,153.5,316,310,458,491,270,123,11,60997.0,7535.0,1967.0,3.0,1.0,1.0,0.0,2.0,1.0
101,Steinmaur,2010,334.6,452,557,741,716,513,177,13,62215.0,6740.0,3169.0,18.0,9.0,3.0,0.0,15.0,9.0
102,Weiach,2010,102.3,116,166,194,292,142,63,7,57049.0,12305.0,992.0,5.0,0.0,1.0,0.0,4.0,0.0
111,Bäretswil,2010,216.4,820,840,1031,1096,733,263,20,53640.0,4687.0,4629.0,15.0,3.0,6.0,0.0,9.0,3.0
112,Bubikon,2010,564.7,1131,1078,1442,1482,1025,378,37,61116.0,2532.0,6399.0,44.0,10.0,16.0,1.0,28.0,9.0
113,Dürnten,2010,652.8,1166,1188,1395,1541,929,414,32,52736.0,5426.0,6540.0,37.0,3.0,10.0,0.0,27.0,3.0
