web-scraper-order,web-scraper-start-url,NewsTiles,NewsTiles-href,Tile-Title,Tile-Date,Tile-Text
"1715677658-1","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Zürich HB: Mutmassliche Taschendiebe verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        01.11.2023
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat in den vergangenen Tagen (29./30.10.) mehrere Männer verhaftet, die...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/11/231101x_zuerichhb_verhaftungen.html","Zürich HB: Mutmassliche Taschendiebe verhaftet","Medienmitteilung
            01.11.2023","Während der Patrouillentätigkeit im Hauptbahnhof Zürich fielen den Polizisten am Sonntag und am Montag diverse Männer auf, die sich verdächtig verhielten. Nachdem ihnen die Funktionäre unauffällig folgten, konnte beobachtet werden, wie zwei Männer in einen Zug stiegen und nach Absprache einer von ihnen versuchte einer Frau das Portemonnaie aus der Handtasche zu entwenden. Zwei weitere Männer konnten beobachtet werden, wie sie versuchten einer Passantin eine Halskette zu entreissen. Ebenso kontrollierten die Polizisten einen Mann, welcher wegen eines in der Stadt Zürich verübten Einbruchdiebstahls polizeilich gesucht wurde."
"1715677660-2","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Winterthur: Mutmassliche Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        30.10.2023
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Montagmorgen (30.10.2023) in einer Wohnung in Winterthur zwei...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/10/231030x_winterthur_verhaftung.html","Winterthur: Mutmassliche Einbrecher verhaftet","Medienmitteilung
            30.10.2023","Aufgrund von Ermittlungen klingelten Fahnder gegen 7.30 Uhr bei der Wohnung. Obwohl sich hörbar Personen in der Wohnung befanden, wurde die Türe erst verzögert geöffnet. Aufgrund der Situation musste davon ausgegangen werden, dass sich möglicherweise weitere Personen in der Wohnung aufhalten, worauf diese nach Rücksprache mit dem zuständigen Staatsanwalt durchsucht wurde. Schliesslich konnten in der Wohnung zwei Männer im Alter von 30 und 40 Jahren angetroffen werden, die sich in einem Schrank versteckten. Die beiden Männer wurden festgenommen. Die 25-jährige Wohnungsmieterin sowie eine weitere anwesende 43-jährige Frau wurden ebenfalls festgenommen. In der Wohnung konnte zudem Einbruchswerkzeug sichergestellt werden. 
 
 Die beiden Kosovaren, welche sich illegal in der Schweiz aufhalten und mutmasslich Einbruchsdiebstähle begingen sowie die in der Schweiz wohnhaften Kosovarinnen, welche wegen des Verdachts der Begehung von Einbruchdiebstählen verhaftet wurden, werden der zuständigen Staatsanwaltschaft zugeführt."
"1715677662-3","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Niederhasli: Einbrecher nach Flucht verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        08.10.2023
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat mit Hilfe von Anwohnern am frühen Sonntagmorgen (8.10.2023) in Niederhasli...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/10/231008m_niederhasli_ebd.html","Niederhasli: Einbrecher nach Flucht verhaftet","Medienmitteilung
            08.10.2023","Kurz vor 5 Uhr ging bei der Einsatzzentrale der Kantonspolizei Zürich die Meldung ein, dass in ein Geschäft eingebrochen werde. Der Einbrecher wurde beim Verlassen der Liegenschaft von Anwohnern überrascht und ergriff die Flucht. Die kurz darauf eintreffende Patrouille der Kantonspolizei konnte den Mann gemeinsam mit zwei Anwohnern stellen und verhaften. Bei der Überprüfung des Festgenommenen stellte die Polizei mehrere tausend Franken aus dem soeben erfolgen Einbruchdiebstahl sicher. Der 21-jährige Schweizer wurde nach den polizeilichen Befragungen der Staatsanwaltschaft zugeführt."
"1715677664-4","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Zürich / Basel: Gestohlene Kunstwerke sichergestellt
                                    
                                    
                                    
                                        Medienmitteilung
                                        20.11.2023
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Dienstag (26.9.2023) im Kanton Basel-Land zwei Personen...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/11/231120k_basel_kunst.html","Zürich / Basel: Gestohlene Kunstwerke sichergestellt","Medienmitteilung
            20.11.2023","Die Kantonspolizei Zürich hatte Ende August Hinweise erhalten, wonach in einem Auktionshaus mutmasslich gestohlene Bilder zum Verkauf abgegeben worden sind. Die Ermittlungen ergaben, dass die Bilder 2019 bei einem Einbruchdiebstahl im Kanton Bern entwendet worden waren. Die intensiven Ermittlungen führten zu zwei Personen mit Wohnsitz im Kanton Basel-Landschaft. In Zusammenarbeit mit der Staatsanwaltschaft Zürich-Sihl sind die zwei Männer an ihren Wohnorten verhaftet worden. Bei den anschliessenden Hausdurchsuchungen ist umfangreiches Diebesgut im Gesamtwert von mehreren hunderttausend Franken sichergestellt worden."
"1715677666-5","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Niederhasli: Zwei Männer nach Diebstahl aus Fahrzeug verhaftet 
                                    
                                    
                                    
                                        Medienmitteilung
                                        14.11.2023
                                    
                                    
                                    
                                    
                                    
                                        In der Nacht von Sonntag (12.11.2023) verhaftete die Kantonspolizei Zürich zwei mutmassliche...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/11/231114_fahrzeugeinbruch_niederhasli.html","Niederhasli: Zwei Männer nach Diebstahl aus Fahrzeug verhaftet","Medienmitteilung
            14.11.2023","Gegen 1 Uhr meldete ein aufmerksamer Anwohner zwei verdächtige Personen, welche im Quartier herumstreiften. Die sofort ausgerückte Patrouille konnten in einer privaten Garage zwei Einbrecher antreffen und verhaften. Ein 26-jähriger Marokkaner und ein 27-jähriger Tunesier waren in die Garage eingedrungen und hatten aus einem verschlossenen Fahrzeug ein Portemonnaie mit Münzgeld entwendet. Das Deliktsgut konnte bei einem der Verhafteten sichergestellt werden. Beide Männer wurden der Staatsanwaltschaft zugeführt."
"1715677669-6","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Bei Verdacht Telefon 117 - Gemeinsam gegen Einbruch
                                    
                                    
                                    
                                        Medienmitteilung
                                        30.10.2023
                                    
                                    
                                    
                                    
                                    
                                        Einbrüche verhindern - dies ist das Ziel der heute gestarteten Aktion zur Bekämpfung der...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/10/231030x_verdacht_ruf_an_gemeinsam_gegen_einbruch.html","Bei Verdacht Telefon 117 - Gemeinsam gegen Einbruch","Medienmitteilung
            30.10.2023","Mit Beginn der Winterzeit nimmt die Zahl der Einbrüche tendenziell zu. Einbrecher nutzen sowohl die düstereren Tage, als auch die früh einsetzende Dämmerung und dringen spontan in Einfamilienhäuser, Wohnungen oder Kellerräumlichkeiten von Mehrfamilienhäusern sowie in Gewerbeliegenschaften ein."
"1715677671-7","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Bei Verdacht 117 – Gemeinsam gegen Einbruch
                                    
                                    
                                    
                                        Mitteilung
                                        06.12.2023","https://www.zh.ch/de/news-uebersicht/mitteilungen/2023/sicherheit-justiz/kantonspolizei/blog_fachfrage_gemeinsam_gegen_einbruch.html","Bei Verdacht 117 – Gemeinsam gegen Einbruch","Mitteilung
            06.12.2023","Mit Beginn der Winterzeit steigt die Zahl der Einbrüche tendenziell an. Einbrecherinnen und Einbrecher nutzen die dunkleren Tage sowie die früh einsetzende Dämmerung, um unbemerkt in Einfamilienhäuser, Wohnungen, Kellerräume oder Gewerbeliegenschaften einzudringen."
"1715677673-8","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Zürich-Oerlikon: Vier mutmassliche Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        01.12.2023
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Mittwochabend (29.11.2023) in Zürich-Oerlikon vier Männer...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/11/231201_zuerichoerlikon_verhaftung_einbrecher.html","Zürich-Oerlikon: Vier mutmassliche Einbrecher verhaftet","Medienmitteilung
            01.12.2023","Kurz nach dem Mittag meldete sich eine Bewohnerin eines Einfamilienhauses in Brüttisellen bei der Einsatzzentrale der Kantonspolizei Zürich und teilte mit, dass bei ihr eingebrochen worden sei. Die Täterschaft habe Bargeld und Wertsachen in der Höhe von mehreren zehntausend Franken erbeutet."
"1715677675-9","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Bezirke Bülach, Pfäffikon und Winterthur: Vier Männer verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        18.12.2023
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Montagmorgen (18.12.2023) in Embrach, Kemptthal und Winterthur...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/12/231218_bezirke_verhaftungen.html","Bezirke Bülach, Pfäffikon und Winterthur: Vier Männer verhaftet","Medienmitteilung
            18.12.2023","Im Rahmen einer Kontrolle zur Bekämpfung der Einbruchskriminalität haben Polizistinnen und Polizisten Personen in der Nähe von Bahnhöfen überprüft. Vier Männer, welche mutmassliches Deliktsgut wie ein E-Bike, ein E-Trottinett, eine Damen-Sonnenbrille, Bargeld in Noten sowie unübliche Mengen an Münzgeld mit sich führten, wurden festgenommen."
"1715677677-10","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2023-10-01&dateTo=2023-12-31&fullText=Einbruch&page=1&orderBy=relevance","Winterthur: Mann bei Kontrolle verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        28.11.2023
                                    
                                    
                                    
                                    
                                    
                                        Im Rahmen einer gezielten Kontrolle zur Bekämpfung der Einbruchskriminalität hat die Kantonspolizei Zürich...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2023/11/231128_winterthur_verhaftung.html","Winterthur: Mann bei Kontrolle verhaftet","Medienmitteilung
            28.11.2023","Polizistinnen und Polizisten überprüften am Montagnachmittag in Winterthur-Wülflingen im Rahmen einer punktuellen Kontrolle diverse Fahrzeuge und deren Insassen. Bei der Kontrolle eines Automobilisten stellte sich heraus, dass dieser wegen Vermögensdelikten zur Verhaftung ausgeschrieben ist, worauf er festgenommen wurde."
