web-scraper-order,web-scraper-start-url,NewsTiles,NewsTiles-href,Tile-Title,Tile-Date,Tile-Text
"1715677863-1","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-11-01&dateTo=2022-12-31&fullText=Einbruch&page=1&orderBy=relevance","Oberhasli: Mutmassliche Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        08.12.2022
                                    
                                    
                                    
                                    
                                    
                                        Bei einer Kontrolle im Zuge der Einbruchprävention hat die Kantonspolizei Zürich am Mittwochabend...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/12/221208k_oberhasli_einbrecher_verhaftet.html","Oberhasli: Mutmassliche Einbrecher verhaftet","Medienmitteilung
            08.12.2022","Gegen 20.00 Uhr hielten Polizisten einen Personenwagen mit vier Insassen an. Bei der Überprüfung der Personalien stellte sich heraus, dass ein Mitfahrer zur Fahndung ausgeschrieben war. Bei der anschliessenden Kontrolle des Fahrzeuges wurde diverses Deliktsgut sowie Einbruchswerkzeuge sichergestellt, worauf die vier Männer arretiert wurden. Ermittlungen ergaben, dass es sich bei den Sicherstellungen teilweise um Gegenstände handelte, die bei bereits gemeldeten Einbruchdiebstählen entwendet worden sind."
"1715677865-2","https://www.zh.ch/de/news-uebersicht.html?organisation=organisationen%253Akanton-zuerich%252Fsicherheitsdirektion%252Fkantonspolizei&dateFrom=2022-11-01&dateTo=2022-12-31&fullText=Einbruch&page=1&orderBy=relevance","Greifensee: Drei mutmassliche Einbrecher verhaftet
                                    
                                    
                                    
                                        Medienmitteilung
                                        12.11.2022
                                    
                                    
                                    
                                    
                                    
                                        Die Kantonspolizei Zürich hat am Mittwochnachmittag (09.11.2022) anlässlich einer Fahrzeugkontrolle in...","https://www.zh.ch/de/news-uebersicht/medienmitteilungen/2022/11/221112n_greifensee_einbrecher.html","Greifensee: Drei mutmassliche Einbrecher verhaftet","Medienmitteilung
            12.11.2022","Fahndern der Kantonspolizei Zürich fiel nach 15 Uhr ein Personenwagen mit drei Insassen auf. Bei der anschliessenden Überprüfung der Personen stellte sich heraus, dass der Lenker wegen Einbruchdiebstahls international zur Verhaftung ausgeschrieben war. Gegen die beiden Mitfahrer bestand der Verdacht, ebenfalls Einbruchdiebstähle begangen zu haben. Die drei Männer wurden festgenommen und in eine Polizeistation gebracht. Die weiteren Ermittlungen ergaben, dass der ausgeschriebene Fahrzeuglenker zusätzlich eines Einbruchdiebstahls, begangen im Januar 2022 im Bezirk Hinwil, verdächtigt wird."
