Ausgangsjahr,Gemeinde_BFS_Nr,Gemeindename,Stadtkreis_BFS_Nr,Stadtkreis_Name,Gesetz_Nummer,Gesetz_Abk,Tatbestand,Straftaten_total,Straftaten_vollendet,Straftaten_versucht,Einwohner,Häufigkeitszahl
2009,25,Dachsen,,,311.0,StGB,Einschleichdiebstahl,3,3,0,1893.0,1.6
2009,25,Dachsen,,,311.0,StGB,Einbrüche insgesamt,5,5,0,1893.0,2.6
2009,86,Dielsdorf,,,311.0,StGB,Einbruchdiebstahl,43,28,15,5409.0,7.9
2009,86,Dielsdorf,,,311.0,StGB,Einschleichdiebstahl,22,22,0,5409.0,4.1
2009,86,Dielsdorf,,,311.0,StGB,Einbrüche insgesamt,65,50,15,5409.0,12.0
2009,243,Dietikon,,,311.0,StGB,Einbruchdiebstahl,267,182,85,22954.0,11.6
2009,243,Dietikon,,,311.0,StGB,Einschleichdiebstahl,56,53,3,22954.0,2.4
2009,243,Dietikon,,,311.0,StGB,Einbrüche insgesamt,323,235,88,22954.0,14.1
2009,54,Dietlikon,,,311.0,StGB,Einbruchdiebstahl,70,48,22,7030.0,10.0
2009,54,Dietlikon,,,311.0,StGB,Einschleichdiebstahl,19,19,0,7030.0,2.7
2009,54,Dietlikon,,,311.0,StGB,Einbrüche insgesamt,89,67,22,7030.0,12.7
2009,216,Dinhard,,,311.0,StGB,Einbruchdiebstahl,9,7,2,1396.0,6.4
2009,216,Dinhard,,,311.0,StGB,Einschleichdiebstahl,1,0,1,1396.0,0.7
2009,216,Dinhard,,,311.0,StGB,Einbrüche insgesamt,10,7,3,1396.0,7.2
2009,26,Dorf,,,311.0,StGB,Einbruchdiebstahl,1,1,0,628.0,1.6
2009,26,Dorf,,,311.0,StGB,Einschleichdiebstahl,0,0,0,628.0,0.0
2009,26,Dorf,,,311.0,StGB,Einbrüche insgesamt,1,1,0,628.0,1.6
2009,214,Dägerlen,,,311.0,StGB,Einbruchdiebstahl,2,2,0,972.0,2.1
2009,214,Dägerlen,,,311.0,StGB,Einschleichdiebstahl,0,0,0,972.0,0.0
2009,214,Dägerlen,,,311.0,StGB,Einbrüche insgesamt,2,2,0,972.0,2.1
2009,84,Dällikon,,,311.0,StGB,Einbruchdiebstahl,40,30,10,3596.0,11.1
2009,84,Dällikon,,,311.0,StGB,Einschleichdiebstahl,3,3,0,3596.0,0.8
2009,84,Dällikon,,,311.0,StGB,Einbrüche insgesamt,43,33,10,3596.0,12.0
2009,85,Dänikon,,,311.0,StGB,Einbruchdiebstahl,6,3,3,1841.0,3.3
